,,Ranking,,,,,,,,,,,,,,,Clases,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10, Total,,,,Archivada,Complejas,No respondibles,Opiniones,Otros,Particulares,Web y Archivada,Total
Etiquetas,Archivada,18,48,1,2,,1,1,,,,2,73,,Ranking,10,2,,,1,,1,,4
,Complejas,7,11,,1,,,,,,,,19,,,7,,,,2,,1,,3
,No respondibles,9,13,1,1,1,1,,,,,,26,,,6,1,,,1,,,,2
,Opiniones,42,83,6,1,1,,1,2,,,1,137,,,5,1,,1,,,1,,3
,Otros,1,,,,,,,,,,,1,,,4,,,1,1,,1,,3
,Particulares,29,81,8,4,1,1,,1,,,1,126,,,3,2,1,1,1,,4,,9
,Web y Archivada,1,1,,,,,,,,,,2,,,2,1,,1,6,,8,,16
,Total,107,237,16,9,3,3,2,3,0,0,4,384,,,1,48,11,13,83,,81,1,237
,,,,,,,,,,,,,,,,No Encontradas,18,7,9,42,1,29,1,107
,,,,,,,,,,,,,,,,Total,73,19,26,137,1,126,2,384
